wavelength transmission
10370.0 0.51054
10380.0 0.51104
10390.0 0.50982
10400.0 0.5086
10410.0 0.50737
10420.0 0.50614
10430.0 0.50491
10440.0 0.50196
10450.0 0.50244
10460.0 0.5012
10470.0 0.50167
10480.0 0.50215
10490.0 0.50436
10500.0 0.50657
10510.0 0.50878
10520.0 0.511
10530.0 0.51148
10540.0 0.51371
10550.0 0.51593
10560.0 0.51816
10570.0 0.52039
10580.0 0.52437
10590.0 0.52661
10600.0 0.53059
10610.0 0.53284
10620.0 0.53509
10630.0 0.53735
10640.0 0.5396
10650.0 0.54186
10660.0 0.54413
10670.0 0.5464
10680.0 0.55042
10690.0 0.5527
10700.0 0.55322
10710.0 0.5555
10720.0 0.55602
10730.0 0.55477
10740.0 0.55352
10750.0 0.55226
10760.0 0.551
10770.0 0.54974
10780.0 0.54848
10790.0 0.54721
10800.0 0.54772
10810.0 0.54823
10820.0 0.55051
10830.0 0.55281
10840.0 0.5551
10850.0 0.5574
10860.0 0.5597
10870.0 0.56022
10880.0 0.55894
10890.0 0.55766
10900.0 0.55638
10910.0 0.5533
10920.0 0.55021
10930.0 0.54891
10940.0 0.54581
10950.0 0.5427
10960.0 0.5414
10970.0 0.54008
10980.0 0.53877
10990.0 0.53926
11000.0 0.53975
11010.0 0.54024
11020.0 0.54254
11030.0 0.54485
11040.0 0.54716
11050.0 0.54766
11060.0 0.54816
11070.0 0.54683
11080.0 0.5455
11090.0 0.54599
11100.0 0.54466
11110.0 0.54515
11120.0 0.54381
11130.0 0.54429
11140.0 0.54478
11150.0 0.54344
11160.0 0.54392
11170.0 0.54073
11180.0 0.53938
11190.0 0.53617
11200.0 0.53296
11210.0 0.52975
11220.0 0.52653
11230.0 0.5233
11240.0 0.52191
11250.0 0.52052
11260.0 0.51913
11270.0 0.51959
11280.0 0.52191
11290.0 0.52238
11300.0 0.5247
11310.0 0.52703
11320.0 0.53122
11330.0 0.53355
11340.0 0.53589
11350.0 0.53823
11360.0 0.54058
11370.0 0.54105
11380.0 0.5434
11390.0 0.54388
11400.0 0.54624
11410.0 0.54672
11420.0 0.54907
11430.0 0.55144
11440.0 0.5538
11450.0 0.55617
11460.0 0.55855
11470.0 0.56281
11480.0 0.56519
11490.0 0.56947
11500.0 0.57186
11510.0 0.57614
11520.0 0.58044
11530.0 0.58474
11540.0 0.58905
11550.0 0.59336
11560.0 0.59768
11570.0 0.6001
11580.0 0.60253
11590.0 0.60496
11600.0 0.60548
11610.0 0.60791
11620.0 0.60844
11630.0 0.61088
11640.0 0.6114
11650.0 0.61384
11660.0 0.61437
11670.0 0.61682
11680.0 0.61735
11690.0 0.61788
11700.0 0.61841
11710.0 0.61701
11720.0 0.6156
11730.0 0.61227
11740.0 0.60892
11750.0 0.60751
11760.0 0.60415
11770.0 0.60079
11780.0 0.59936
11790.0 0.59793
11800.0 0.59649
11810.0 0.597
11820.0 0.59555
11830.0 0.59606
11840.0 0.59656
11850.0 0.59511
11860.0 0.59366
11870.0 0.59221
11880.0 0.59075
11890.0 0.58929
11900.0 0.58587
11910.0 0.5844
11920.0 0.58293
11930.0 0.58145
11940.0 0.57997
11950.0 0.58046
11960.0 0.57898
11970.0 0.57946
11980.0 0.57994
11990.0 0.57845
12000.0 0.57894
12010.0 0.57744
12020.0 0.57594
