wavelength transmission
3890.0 0.00010825
3900.0 0.00015454
3910.0 0.00022341
3920.0 0.0004175
3930.0 0.00056834
3940.0 0.00044113
3950.0 0.0013124
3960.0 0.0092633
3970.0 0.011478
3980.0 0.014509
3990.0 0.018672
4000.0 0.024421
4010.0 0.034426
4020.0 0.050556
4030.0 0.075032
4040.0 0.11001
4050.0 0.15701
4060.0 0.22467
4070.0 0.3065
4080.0 0.39712
4090.0 0.49391
4100.0 0.58894
4110.0 0.67269
4120.0 0.74154
4130.0 0.79761
4140.0 0.83857
4150.0 0.86313
4160.0 0.88066
4170.0 0.89111
4180.0 0.89564
4190.0 0.89539
4200.0 0.89392
4210.0 0.88884
4220.0 0.88251
4230.0 0.87614
4240.0 0.877
4250.0 0.88028
4260.0 0.88114
4270.0 0.87832
4280.0 0.87794
4290.0 0.88121
4300.0 0.88818
4310.0 0.89517
4320.0 0.90219
4330.0 0.90675
4340.0 0.91008
4350.0 0.91094
4360.0 0.90805
4370.0 0.90514
4380.0 0.8997
4390.0 0.89172
4400.0 0.88495
4410.0 0.8794
4420.0 0.87382
4430.0 0.87074
4440.0 0.86636
4450.0 0.8645
4460.0 0.86517
4470.0 0.86966
4480.0 0.878
4490.0 0.88894
4500.0 0.90121
4510.0 0.9161
4520.0 0.92846
4530.0 0.94216
4540.0 0.95332
4550.0 0.96192
4560.0 0.96924
4570.0 0.97398
4580.0 0.97742
4590.0 0.97693
4600.0 0.97512
4610.0 0.97197
4620.0 0.96616
4630.0 0.96031
4640.0 0.95311
4650.0 0.94586
4660.0 0.93858
4670.0 0.93525
4680.0 0.93191
4690.0 0.93122
4700.0 0.93052
4710.0 0.93385
4720.0 0.93853
4730.0 0.94457
4740.0 0.95469
4750.0 0.96213
4760.0 0.97232
4770.0 0.97981
4780.0 0.98596
4790.0 0.98802
4800.0 0.99009
4810.0 0.9894
4820.0 0.9887
4830.0 0.98938
4840.0 0.98866
4850.0 0.98932
4860.0 0.98997
4870.0 0.99061
4880.0 0.99265
4890.0 0.99468
4900.0 0.99671
4910.0 0.99735
4920.0 0.99938
4930.0 1.0
4940.0 0.99921
4950.0 0.99699
4960.0 0.99475
4970.0 0.99108
4980.0 0.98596
4990.0 0.98081
5000.0 0.97135
5010.0 0.96327
5020.0 0.95228
5030.0 0.94125
5040.0 0.93016
5050.0 0.91902
5060.0 0.90783
5070.0 0.89659
5080.0 0.88675
5090.0 0.87686
5100.0 0.86693
5110.0 0.85403
5120.0 0.84107
5130.0 0.82073
5140.0 0.79883
5150.0 0.76361
5160.0 0.72676
5170.0 0.67647
5180.0 0.62007
5190.0 0.55602
5200.0 0.48564
5210.0 0.41662
5220.0 0.34717
5230.0 0.28359
5240.0 0.2256
5250.0 0.17504
5260.0 0.13546
5270.0 0.099248
5280.0 0.075935
5290.0 0.053213
5300.0 0.040746
5310.0 0.028307
5320.0 0.021081
5330.0 0.014697
5340.0 0.010435
5350.0 0.0072372
5360.0 0.0040457
5370.0 0.0030484
5380.0 0.0022763
5390.0 0.0017339
5400.0 0.0012893
5410.0 0.00097294
5420.0 0.00073876
5430.0 0.00054885
5440.0 0.00039102
5450.0 0.00030953
5460.0 0.00021542
5470.0 0.00027863
5480.0 0.00031531
5490.0 0.00031353
5500.0 0.00025926
5510.0 0.0002251
5520.0 0.00019539
5530.0 0.00015012
5540.0 0.00013333
5550.0 0.00010424
5560.0 6.0519e-05
