wavelength transmission
2600.0 2.3718e-06
2610.0 0.00035787
2620.0 0.0011801
2630.0 0.00092944
2640.0 0.00075095
2650.0 0.0008194
2660.0 0.00088183
2670.0 0.0010517
2680.0 0.00033867
2690.0 0.00051705
2700.0 0.00081846
2710.0 0.0087291
2720.0 0.0077299
2730.0 0.0046045
2740.0 0.0034356
2750.0 0.0073993
2760.0 0.013747
2770.0 0.02355
2780.0 0.045209
2790.0 0.088875
2800.0 0.15556
2810.0 0.23009
2820.0 0.28369
2830.0 0.30687
2840.0 0.30425
2850.0 0.29415
2860.0 0.2821
2870.0 0.26809
2880.0 0.25501
2890.0 0.25401
2900.0 0.26625
2910.0 0.28903
2920.0 0.31501
2930.0 0.33782
2940.0 0.35702
2950.0 0.37356
2960.0 0.38865
2970.0 0.40548
2980.0 0.42145
2990.0 0.43263
3000.0 0.43701
3010.0 0.44142
3020.0 0.44584
3030.0 0.44534
3040.0 0.43787
3050.0 0.42836
3060.0 0.41477
3070.0 0.40008
3080.0 0.38227
3090.0 0.36736
3100.0 0.35944
3110.0 0.36771
3120.0 0.39539
3130.0 0.43755
3140.0 0.47689
3150.0 0.50722
3160.0 0.52844
3170.0 0.54461
3180.0 0.55879
3190.0 0.57201
3200.0 0.5832
3210.0 0.59027
3220.0 0.59737
3230.0 0.60239
3240.0 0.60637
3250.0 0.60293
3260.0 0.5984
3270.0 0.59596
3280.0 0.59993
3290.0 0.61787
3300.0 0.65317
3310.0 0.69947
3320.0 0.74821
3330.0 0.79179
3340.0 0.82254
3350.0 0.84021
3360.0 0.84052
3370.0 0.82651
3380.0 0.8102
3390.0 0.79056
3400.0 0.76957
3410.0 0.75847
3420.0 0.77522
3430.0 0.82117
3440.0 0.883
3450.0 0.93966
3460.0 0.97628
3470.0 0.99497
3480.0 1.0
3490.0 0.99831
3500.0 0.99774
3510.0 0.99727
3520.0 0.99666
3530.0 0.99615
3540.0 0.98857
3550.0 0.97513
3560.0 0.95694
3570.0 0.93631
3580.0 0.91555
3590.0 0.90286
3600.0 0.90067
3610.0 0.91379
3620.0 0.93642
3630.0 0.95798
3640.0 0.97013
3650.0 0.97518
3660.0 0.97546
3670.0 0.97572
3680.0 0.97478
3690.0 0.97381
3700.0 0.97295
3710.0 0.97436
3720.0 0.97456
3730.0 0.96743
3740.0 0.93949
3750.0 0.88456
3760.0 0.79862
3770.0 0.6829
3780.0 0.54804
3790.0 0.40726
3800.0 0.28186
3810.0 0.18529
3820.0 0.11568
3830.0 0.070803
3840.0 0.043646
3850.0 0.027601
3860.0 0.0176
3870.0 0.011016
3880.0 0.0067609
3890.0 0.0047912
3900.0 0.0039844
3910.0 0.003139
3920.0 0.0023814
3930.0 0.0022553
3940.0 0.0018119
3950.0 0.001512
3960.0 0.0011342
3970.0 0.00065546
3980.0 0.00035449
3990.0 4.281e-05
4000.0 0.00010032
