LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
3.206733 5.641522 2.499248 8.212426 0.0 0.0 0.0 0.0 2.292122284472383 1.22573 -33.0 897048 -99.0 -99.0 -99.0 -99.0 89431.46 4.9435639 -inf -5.2277041 1.2257318 1.2254561 8.8407888 0.0069608 0.0 -0.0 438048.3007650499 1.501064926401341e-05
3.206441 5.641451 2.49921 8.2124 0.0 0.0 0.0 0.0 2.292122284615443 1.22573 -33.0 897049 -99.0 -99.0 -99.0 -99.0 89401.75 4.9434225 -inf -5.2277417 1.2257318 1.2254561 8.8407995 0.0069607 0.0 -0.0 437976.6929309583 1.5075193402935838e-05
3.206127 5.641382 2.499199 8.21244 0.0 0.0 0.0 0.0 2.292122284787115 1.22573 -33.0 897050 -99.0 -99.0 -99.0 -99.0 89399.21 4.9434156 -inf -5.2277771 1.2257318 1.2254561 8.8408378 0.0069604 0.0 -0.0 437907.113434752 1.5152646255955915e-05
3.205745 5.641291 2.499153 8.212416 0.0 0.0 0.0 0.0 2.292122284982394 1.22573 -33.0 897051 -99.0 -99.0 -99.0 -99.0 89364.38 4.9432504 -inf -5.2278118 1.2257318 1.2254561 8.8408563 0.0069603 0.0 -0.0 437815.3660736127 1.5240749803524523e-05
3.205327 5.641199 2.499133 8.212459 0.0 0.0 0.0 0.0 2.292122285216728 1.22573 -33.0 897052 -99.0 -99.0 -99.0 -99.0 89355.72 4.9432152 -inf -5.227845 1.2257318 1.2254561 8.8409038 0.0069599 0.0 -0.0 437722.63004000275 1.5346473674071603e-05
3.204827 5.641081 2.499076 8.212439 0.0 0.0 0.0 0.0 2.292122285483323 1.22573 -33.0 897053 -99.0 -99.0 -99.0 -99.0 89313.79 4.9430169 -inf -5.2278775 1.2257318 1.2254561 8.8409325 0.0069596 0.0 -0.0 437603.7147505456 1.5466752813608764e-05
3.204267 5.640956 2.499042 8.212485 0.0 0.0 0.0 0.0 2.292122285803237 1.22573 -33.0 897054 -99.0 -99.0 -99.0 -99.0 89296.55 4.9429417 -inf -5.2279089 1.2257318 1.2254542 8.840992 0.0069592 0.0 -0.0 437477.78040104714 1.5611087604838758e-05
3.064009 5.576051 2.381376 7.961761 0.0 0.0 0.0 0.0 2.292122285823069 1.15919 -33.0 897130 -99.0 -99.0 -99.0 -99.0 20334.78 4.2826206 -inf -3.9871887 1.1591853 1.1585431 8.6973893 0.0079843 0.0 -0.0 376748.0386015803 1.56200352137148e-05
3.203614 5.640803 2.49897 8.212469 0.0 0.0 0.0 0.0 2.292122286167253 1.22573 -33.0 897055 -99.0 -99.0 -99.0 -99.0 89244.88 4.9426977 -inf -5.2279399 1.2257318 1.2254542 8.8410339 0.0069588 0.0 -0.0 437323.6860842123 1.577531980956337e-05
3.202882 5.640639 2.498919 8.212521 0.0 0.0 0.0 0.0 2.292122286604072 1.22573 -33.0 897056 -99.0 -99.0 -99.0 -99.0 89216.16 4.9425687 -inf -5.2279698 1.2257318 1.2254542 8.8411093 0.0069582 0.0 -0.0 437158.57336137025 1.5972398443864222e-05
3.202042 5.640444 2.498826 8.212511 0.0 0.0 0.0 0.0 2.292122287101229 1.22573 -33.0 897057 -99.0 -99.0 -99.0 -99.0 89151.37 4.9422628 -inf -5.2279995 1.2257318 1.2254542 8.8411687 0.0069578 0.0 -0.0 436962.3314325934 1.619669961883119e-05
3.201096 5.640231 2.49875 8.21257 0.0 0.0 0.0 0.0 2.292122287697818 1.22573 -33.0 897058 -99.0 -99.0 -99.0 -99.0 89106.96 4.9420597 -inf -5.2280284 1.2257318 1.2254542 8.8412644 0.006957 0.0 -0.0 436748.0755293909 1.6465861278902594e-05
3.200023 5.639983 2.498629 8.212568 0.0 0.0 0.0 0.0 2.292122288377031 1.22573 -33.0 897059 -99.0 -99.0 -99.0 -99.0 89024.42 4.9416696 -inf -5.2280572 1.2257318 1.2254542 8.8413465 0.0069563 0.0 -0.0 436498.745622168 1.6772300284628727e-05
3.1988 5.639708 2.49852 8.212637 0.0 0.0 0.0 0.0 2.292122289192086 1.22573 -33.0 897060 -99.0 -99.0 -99.0 -99.0 88958.76 4.9413655 -inf -5.2280854 1.2257318 1.2254455 8.8414686 0.0069554 0.0 -0.0 436222.437348291 1.714002661401537e-05
3.372801 5.721232 2.62101 8.527609 0.0 0.0 0.0 0.0 2.292122289497777 1.2919 -33.0 897040 -99.0 -99.0 -99.0 -99.0 482000.6 5.6809091 -inf -4.8917526 1.2919045 1.2917515 9.0163984 0.0058381 0.0 -0.0 526298.3397464483 1.7277944522220423e-05
3.372711 5.721209 2.620959 8.527578 0.0 0.0 0.0 0.0 2.29212228954636 1.2919 -33.0 897041 -99.0 -99.0 -99.0 -99.0 481795.3 5.6807238 -inf -4.891773 1.2919045 1.2917515 9.0163941 0.0058381 0.0 -0.0 526270.4680101252 1.7299863770858792e-05
3.372647 5.721201 2.620944 8.527636 0.0 0.0 0.0 0.0 2.292122289604661 1.2919 -33.0 897042 -99.0 -99.0 -99.0 -99.0 481793.4 5.6807223 -inf -4.8917942 1.2919045 1.2917515 9.0164255 0.0058379 0.0 -0.0 526260.7738391357 1.7326167267128767e-05
3.372533 5.721172 2.620882 8.52761 0.0 0.0 0.0 0.0 2.292122289671028 1.2919 -33.0 897043 -99.0 -99.0 -99.0 -99.0 481554.4 5.6805064 -inf -4.897897 1.2919045 1.2917515 9.0164258 0.0058379 0.0 -0.0 526225.6339662079 1.735610987907421e-05
3.372436 5.721157 2.620854 8.527671 0.0 0.0 0.0 0.0 2.292122289750669 1.2919 -33.0 897044 -99.0 -99.0 -99.0 -99.0 481508.6 5.6804653 -inf -4.8918303 1.2919045 1.2917515 9.0164622 0.0058377 0.0 -0.0 526207.4590905735 1.7392041200992026e-05
3.372284 5.721121 2.620777 8.527652 0.0 0.0 0.0 0.0 2.292122289841348 1.2919 -33.0 897045 -99.0 -99.0 -99.0 -99.0 481225.5 5.6802094 -inf -4.8979304 1.2919045 1.2917515 9.0164688 0.0058376 0.0 -0.0 526163.8419501375 1.7432952631679655e-05
3.372144 5.721096 2.620731 8.527721 0.0 0.0 0.0 0.0 2.292122289950163 1.2919 -33.0 897046 -99.0 -99.0 -99.0 -99.0 481123.0 5.680117 -inf -4.8979474 1.2919045 1.2917429 9.0165122 0.0058373 0.0 -0.0 526133.5543964182 1.748204653040375e-05
3.371946 5.721051 2.620634 8.527709 0.0 0.0 0.0 0.0 2.292122290074098 1.2919 -33.0 897047 -99.0 -99.0 -99.0 -99.0 480774.8 5.6798021 -inf -4.8979645 1.2919045 1.2917429 9.0165267 0.0058372 0.0 -0.0 526079.0411931283 1.7537962037295074e-05
3.197426 5.639393 2.498361 8.212646 0.0 0.0 0.0 0.0 2.292122290120423 1.22573 -33.0 897061 -99.0 -99.0 -99.0 -99.0 88852.18 4.9408603 -inf -5.2259711 1.2257318 1.2254455 8.84158 0.0069545 0.0 -0.0 435906.15369102533 1.7558862253963525e-05
3.371753 5.721016 2.620563 8.527788 0.0 0.0 0.0 0.0 2.29212229022282 1.2919 -33.0 897048 -99.0 -99.0 -99.0 -99.0 480597.5 5.679642 -inf -4.8979818 1.2919045 1.2917429 9.01658 0.0058369 0.0 -0.0 526036.645939948 1.760506054893085e-05
3.371497 5.720958 2.620438 8.527788 0.0 0.0 0.0 0.0 2.292122290392286 1.2919 -33.0 897049 -99.0 -99.0 -99.0 -99.0 480161.7 5.6792474 -inf -4.8979992 1.2919045 1.2917429 9.0166052 0.0058367 0.0 -0.0 525966.3984707459 1.768151824421693e-05
3.371236 5.720909 2.620335 8.52788 0.0 0.0 0.0 0.0 2.292122290595645 1.2919 -33.0 897050 -99.0 -99.0 -99.0 -99.0 479880.4 5.6789929 -inf -4.8980168 1.2919045 1.2917429 9.0166714 0.0058363 0.0 -0.0 525907.0587813196 1.7773267103393664e-05
3.370905 5.720836 2.620172 8.527895 0.0 0.0 0.0 0.0 2.29212229082751 1.2919 -33.0 897051 -99.0 -99.0 -99.0 -99.0 479326.6 5.6784906 -inf -4.8980344 1.2919045 1.2917366 9.0167113 0.005836 0.0 -0.0 525818.6671703133 1.7877877183991586e-05
3.370558 5.720771 2.620023 8.528006 0.0 0.0 0.0 0.0 2.292122291105748 1.2919 -33.0 897052 -99.0 -99.0 -99.0 -99.0 478903.2 5.6781066 -inf -4.8980522 1.2919045 1.2917366 9.0167948 0.0058354 0.0 -0.0 525739.974814723 1.8003409110178836e-05
3.195876 5.639044 2.498206 8.212729 0.0 0.0 0.0 0.0 2.292122291234428 1.22573 -33.0 897062 -99.0 -99.0 -99.0 -99.0 88757.79 4.9404185 -inf -5.225998 1.2257318 1.2254455 8.8417362 0.0069532 0.0 -0.0 435555.99925931403 1.8061465453911296e-05
3.370131 5.720679 2.619808 8.528043 0.0 0.0 0.0 0.0 2.292122291423246 1.2919 -33.0 897053 -99.0 -99.0 -99.0 -99.0 478188.7 5.6774571 -inf -4.89807 1.2919045 1.2917366 9.0168544 0.005835 0.0 -0.0 525628.6149956005 1.8146653957273884e-05
3.369669 5.72059 2.619598 8.528179 0.0 0.0 0.0 0.0 2.292122291804243 1.2919 -33.0 897054 -99.0 -99.0 -99.0 -99.0 477572.5 5.6768967 -inf -4.898088 1.2919045 1.2917366 9.0169614 0.0058343 0.0 -0.0 525520.9089214971 1.8318547489570847e-05
3.369113 5.720472 2.619313 8.528243 0.0 0.0 0.0 0.0 2.292122292239486 1.2919 -33.0 897055 -99.0 -99.0 -99.0 -99.0 476639.2 5.6760456 -inf -4.8981059 1.2919045 1.2917366 9.0170475 0.0058337 0.0 -0.0 525378.1416375804 1.851491504112346e-05
3.194142 5.638648 2.497996 8.212753 0.0 0.0 0.0 0.0 2.292122292504014 1.22573 -33.0 897063 -99.0 -99.0 -99.0 -99.0 88618.68 4.9397563 -inf -5.226025 1.2257318 1.2254455 8.8418852 0.006952 0.0 -0.0 435159.02998839266 1.863426152226566e-05
3.051646 5.573195 2.381137 7.961874 0.0 0.0 0.0 0.0 2.292122292709964 1.15919 -33.0 897131 -99.0 -99.0 -99.0 -99.0 20265.43 4.2817891 -inf -3.9872205 1.1591853 1.1585431 8.6983271 0.0079757 0.0 -0.0 374278.603174339 1.8727179451616394e-05
3.368506 5.720355 2.619019 8.528414 0.0 0.0 0.0 0.0 2.292122292761779 1.2919 -33.0 897056 -99.0 -99.0 -99.0 -99.0 475761.4 5.6752441 -inf -4.898124 1.2919045 1.2917366 9.0171859 0.0058328 0.0 -0.0 525236.6225396091 1.8750556705526833e-05
3.367792 5.720207 2.618639 8.528518 0.0 0.0 0.0 0.0 2.292122293359352 1.2919 -33.0 897057 -99.0 -99.0 -99.0 -99.0 474531.1 5.6741175 -inf -4.8981421 1.2919045 1.2917366 9.0173078 0.005832 0.0 -0.0 525057.6615361709 1.902016239796467e-05
3.192173 5.638206 2.49778 8.212853 0.0 0.0 0.0 0.0 2.292122294027517 1.22573 -33.0 897064 -99.0 -99.0 -99.0 -99.0 88485.41 4.9391264 -inf -5.2260518 1.2257318 1.2254455 8.8420851 0.0069504 0.0 -0.0 434716.37539339764 1.9321616889556026e-05
3.367003 5.720055 2.618232 8.528736 0.0 0.0 0.0 0.0 2.29212229407644 1.2919 -33.0 897058 -99.0 -99.0 -99.0 -99.0 473299.7 5.6729874 -inf -4.8981603 1.2919045 1.2917362 9.0174887 0.0058308 0.0 -0.0 524873.9272193516 1.9343689388051644e-05
3.366087 5.719869 2.617723 8.528894 0.0 0.0 0.0 0.0 2.292122294898616 1.2919 -33.0 897059 -99.0 -99.0 -99.0 -99.0 471666.9 5.6714836 -inf -4.8981786 1.2919045 1.2917362 9.017659 0.0058296 0.0 -0.0 524649.1819100641 1.9714628678002555e-05
3.189998 5.637711 2.497499 8.212898 0.0 0.0 0.0 0.0 2.292122295765184 1.22573 -33.0 897065 -99.0 -99.0 -99.0 -99.0 88302.36 4.9382501 -inf -5.2260786 1.2257318 1.2254455 8.8422824 0.0069488 0.0 -0.0 434221.1767900429 2.0105596036046336e-05
