LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
3.203935 5.595283 2.382872 7.961842 0.0 0.0 0.0 0.0 2.29212225187804 1.15919 -33.0 897024 -99.0 -99.0 -99.0 -99.0 21019.17 4.2880612 -5.7506559 -3.9994043 1.1591814 1.1585626 8.6343912 0.0085849 0.0 -0.0 393806.6086872746 2.1100555898101447e-06
3.00922 5.526639 2.284616 7.764501 0.0 0.0 0.0 0.0 2.292122251904103 1.0984 -33.0 897033 -99.0 -99.0 -99.0 -99.0 6537.356 3.7411963 -5.7927599 -5.049683 1.0983969 1.0974086 8.5311348 0.0094117 0.0 -0.0 336231.9660044969 2.1218142194356915e-06
3.199414 5.594245 2.382862 7.961845 0.0 0.0 0.0 0.0 2.292122252139296 1.15919 -33.0 897025 -99.0 -99.0 -99.0 -99.0 21000.9 4.288025 -5.7506559 -3.9994043 1.1591814 1.1585626 8.634759 0.0085813 0.0 -0.0 392866.50199217274 2.2279257905211125e-06
3.194712 5.593167 2.382849 7.961848 0.0 0.0 0.0 0.0 2.292122252452804 1.15919 -33.0 897026 -99.0 -99.0 -99.0 -99.0 20981.86 4.2879825 -5.7506559 -3.9994044 1.1591814 1.1585626 8.6351479 0.0085774 0.0 -0.0 391892.54324797157 2.3693704065408383e-06
3.18983 5.592049 2.382835 7.961852 0.0 0.0 0.0 0.0 2.292122252829014 1.15919 -33.0 897027 -99.0 -99.0 -99.0 -99.0 20961.98 4.2879314 -5.7506559 -3.9994046 1.1591814 1.1585626 8.6355588 0.0085734 0.0 -0.0 390884.9955567691 2.539104258403313e-06
3.0036 5.525343 2.284604 7.764505 0.0 0.0 0.0 0.0 2.292122252941666 1.0984 -33.0 897034 -99.0 -99.0 -99.0 -99.0 6523.522 3.7411461 -5.7927596 -5.0496841 1.0983969 1.0974086 8.5315718 0.009407 0.0 -0.0 335230.0948992791 2.58992903923172e-06
3.184752 5.590888 2.382817 7.961857 0.0 0.0 0.0 0.0 2.292122253280465 1.15919 -33.0 897028 -99.0 -99.0 -99.0 -99.0 20941.16 4.2878702 -5.7506559 -3.9994047 1.1591813 1.1585626 8.6359938 0.0085691 0.0 -0.0 389841.437686533 2.7427842894667265e-06
3.179445 5.589677 2.382796 7.961863 0.0 0.0 0.0 0.0 2.292122253822207 1.15919 -33.0 897029 -99.0 -99.0 -99.0 -99.0 20919.2 4.2877966 -5.7506559 -3.9994049 1.1591814 1.1585626 8.6364567 0.0085645 0.0 -0.0 388755.9060810714 2.9872006450659683e-06
2.998066 5.52407 2.28459 7.764509 0.0 0.0 0.0 0.0 2.292122254186742 1.0984 -33.0 897035 -99.0 -99.0 -99.0 -99.0 6509.927 3.7410858 -5.7927593 -5.0496853 1.0983969 1.0974086 8.5320135 0.0094022 0.0 -0.0 334248.9102436364 3.1516670730979968e-06
3.173854 5.588403 2.382771 7.96187 0.0 0.0 0.0 0.0 2.292122254472297 1.15919 -33.0 897030 -99.0 -99.0 -99.0 -99.0 20895.83 4.2877083 -5.7506559 -3.9994051 1.1591814 1.1585626 8.6369522 0.0085596 0.0 -0.0 387617.1642555054 3.280500294522426e-06
3.167908 5.58705 2.382741 7.961878 0.0 0.0 0.0 0.0 2.292122255252405 1.15919 -33.0 897031 -99.0 -99.0 -99.0 -99.0 20870.71 4.2876024 -5.7506559 -3.9994054 1.1591814 1.1585626 8.6374864 0.0085544 0.0 -0.0 386411.46175685455 3.6324597658676794e-06
