Teff log_g Mass Mbol BC U B V R I J H Ks Y J_1 H_1 K W1 W2 W3 W4 S36 S45 S58 S80 u g r i z g_1 r_1 i_1 z_1 y G2 G2_BP G2_RP G3 G3_BP G3_RP FUV NUV Age
8000.0 7.0 0.185 11.57 -0.168 11.343 11.997 11.737 11.557 11.388 11.37 11.306 11.284 11.411 11.339 11.283 11.256 11.221 11.203 11.208 11.235 11.216 11.203 11.199 11.198 12.173 11.805 11.705 11.767 11.889 11.778 11.707 11.77 11.866 11.96 11.647 11.738 11.413 11.664 11.778 11.433 16.516 13.624 264.3
8500.0 7.0 0.189 11.282 -0.231 11.021 11.727 11.514 11.359 11.217 11.234 11.187 11.178 11.262 11.205 11.163 11.151 11.133 11.129 11.149 11.144 11.131 11.128 11.134 11.142 11.851 11.551 11.501 11.588 11.729 11.532 11.503 11.592 11.703 11.806 11.432 11.495 11.235 11.449 11.538 11.256 15.696 13.131 197.6
9000.0 7.0 0.193 11.009 -0.298 10.724 11.478 11.307 11.177 11.061 11.109 11.077 11.079 11.126 11.081 11.053 11.052 11.045 11.048 11.069 11.058 11.045 11.047 11.055 11.064 11.554 11.318 11.313 11.424 11.581 11.306 11.316 11.428 11.553 11.665 11.233 11.27 11.071 11.249 11.315 11.092 14.943 12.676 143.4
9500.0 7.0 0.198 10.749 -0.371 10.456 11.254 11.121 11.011 10.918 10.995 10.976 10.987 11.002 10.967 10.951 10.961 10.964 10.972 10.992 10.978 10.965 10.97 10.98 10.99 11.286 11.107 11.143 11.274 11.446 11.1 11.146 11.279 11.416 11.536 11.052 11.065 10.922 11.067 11.114 10.943 14.295 12.27 99.39
10000.0 7.0 0.202 10.504 -0.448 10.215 11.051 10.952 10.862 10.788 10.892 10.884 10.904 10.888 10.864 10.859 10.878 10.89 10.901 10.919 10.904 10.891 10.899 10.91 10.918 11.046 10.916 10.989 11.139 11.323 10.915 10.992 11.144 11.292 11.418 10.887 10.88 10.786 10.902 10.931 10.809 13.73 11.907 64.96
11000.0 7.0 0.207 10.063 -0.604 9.813 10.712 10.667 10.609 10.569 10.714 10.725 10.758 10.695 10.687 10.699 10.733 10.76 10.778 10.794 10.78 10.763 10.776 10.789 10.795 10.645 10.596 10.729 10.909 11.115 10.603 10.733 10.915 11.081 11.219 10.608 10.568 10.557 10.623 10.623 10.58 12.797 11.3 27.62
12000.0 7.0 0.211 9.667 -0.762 9.483 10.43 10.428 10.397 10.386 10.569 10.598 10.643 10.537 10.543 10.571 10.618 10.655 10.674 10.685 10.673 10.659 10.671 10.682 10.686 10.315 10.328 10.512 10.718 10.943 10.342 10.516 10.724 10.906 11.054 10.374 10.306 10.366 10.388 10.364 10.389 12.044 10.804 14.55
13000.0 7.0 0.214 9.302 -0.911 9.202 10.181 10.213 10.205 10.219 10.433 10.477 10.533 10.389 10.408 10.45 10.508 10.551 10.57 10.581 10.571 10.556 10.568 10.578 10.582 10.035 10.09 10.315 10.544 10.784 10.109 10.319 10.55 10.746 10.902 10.163 10.074 10.192 10.177 10.134 10.216 11.416 10.388 8.661
14000.0 7.0 0.217 8.963 -1.05 8.958 9.957 10.014 10.026 10.061 10.303 10.36 10.423 10.248 10.278 10.333 10.399 10.447 10.466 10.478 10.466 10.452 10.464 10.474 10.478 9.793 9.874 10.132 10.38 10.634 9.896 10.135 10.387 10.594 10.756 9.968 9.862 10.028 9.982 9.924 10.052 10.883 10.037 5.343
15000.0 7.0 0.22 8.649 -1.18 8.747 9.756 9.829 9.859 9.912 10.175 10.244 10.314 10.111 10.152 10.217 10.291 10.342 10.361 10.37 10.352 10.347 10.359 10.369 10.372 9.583 9.677 9.962 10.226 10.49 9.702 9.965 10.233 10.449 10.616 9.789 9.67 9.874 9.803 9.734 9.898 10.425 9.734 3.281
