Teff log_g Mass Mbol BC U B V R I J H Ks Y J_1 H_1 K W1 W2 W3 W4 S36 S45 S58 S80 u g r i z g_1 r_1 i_1 z_1 y G2 G2_BP G2_RP G3 G3_BP G3_RP FUV NUV Age
1500.0 7.0 0.152 19.054 0.981 23.053 20.623 18.072 17.759 19.696 19.997 19.957 22.168 19.941 19.926 19.784 22.139 16.854 16.139 15.25 14.295 16.513 16.126 16.202 15.849 24.083 19.391 17.623 19.825 19.56 19.0 17.699 19.894 19.616 19.454 18.429 18.426 18.536 18.465 18.429 18.597 58.893 34.07 13390.0
1750.0 7.0 0.152 18.383 0.756 22.278 20.061 17.627 17.142 18.341 18.757 18.909 20.525 18.759 18.68 18.764 20.49 16.237 15.594 14.819 14.004 15.942 15.59 15.598 15.301 23.27 18.893 17.059 18.569 18.4 18.525 17.115 18.618 18.407 18.424 17.79 17.914 17.588 17.819 17.918 17.636 56.872 32.981 10770.0
2000.0 7.0 0.152 17.801 0.523 21.64 19.596 17.278 16.658 17.266 17.713 17.999 19.16 17.768 17.637 17.878 19.12 15.701 15.135 14.425 13.727 15.447 15.136 15.096 14.824 22.604 18.49 16.649 17.566 17.459 18.141 16.681 17.599 17.437 17.569 17.255 17.533 16.826 17.278 17.536 16.862 54.997 31.952 9004.0
2250.0 7.0 0.152 17.287 0.298 21.101 19.201 16.99 16.263 16.43 16.831 17.179 17.964 16.931 16.759 17.083 17.922 15.205 14.712 14.058 13.455 14.991 14.717 14.644 14.395 22.038 18.157 16.337 16.788 16.71 17.823 16.35 16.809 16.673 16.863 16.799 17.23 16.213 16.817 17.234 16.239 53.291 31.067 7453.0
2500.0 7.0 0.153 16.827 0.101 20.572 18.817 16.727 15.92 15.731 16.149 16.585 17.174 16.233 16.084 16.501 17.134 14.852 14.414 13.801 13.255 14.667 14.421 14.333 14.101 21.483 17.831 16.079 16.145 16.069 17.516 16.078 16.156 16.023 16.247 16.383 16.962 15.68 16.398 16.967 15.699 51.783 30.238 5893.0
2750.0 7.0 0.153 16.41 -0.089 20.097 18.477 16.499 15.642 15.184 15.493 15.961 16.388 15.572 15.435 15.889 16.35 14.481 14.102 13.527 13.035 14.325 14.11 14.01 13.795 20.988 17.543 15.873 15.661 15.541 17.246 15.863 15.663 15.5 15.696 16.034 16.736 15.249 16.048 16.741 15.263 50.261 29.446 4242.0
3000.0 7.0 0.154 16.029 -0.246 19.626 18.141 16.276 15.398 14.769 14.891 15.367 15.682 14.961 14.841 15.304 15.647 14.131 13.805 13.261 12.816 14.0 13.815 13.706 13.504 20.506 17.26 15.679 15.294 15.116 16.98 15.666 15.289 15.091 15.213 15.733 16.515 14.9 15.748 16.52 14.91 48.667 28.629 3471.0
3250.0 7.0 0.154 15.678 -0.372 19.142 17.8 16.051 15.184 14.468 14.338 14.76 14.984 14.419 14.294 14.707 14.951 13.765 13.493 12.975 12.58 13.66 13.503 13.388 13.195 20.017 16.973 15.489 15.021 14.794 16.711 15.475 15.013 14.791 14.817 15.479 16.292 14.627 15.496 16.298 14.636 46.893 27.766 3218.0
3500.0 7.0 0.155 15.352 -0.464 18.639 17.446 15.816 14.983 14.245 13.855 14.159 14.304 13.988 13.813 14.115 14.273 13.386 13.161 12.676 12.345 13.303 13.171 13.054 12.87 19.512 16.675 15.293 14.806 14.554 16.432 15.279 14.796 14.569 14.521 15.256 16.058 14.408 15.276 16.065 14.418 44.8 26.855 2981.0
3750.0 7.0 0.156 15.047 -0.524 18.124 17.078 15.571 14.783 14.056 13.473 13.587 13.638 13.684 13.43 13.553 13.608 12.99 12.797 12.375 12.14 12.926 12.807 12.693 12.531 18.994 16.363 15.086 14.614 14.361 16.139 15.073 14.605 14.385 14.299 15.045 15.811 14.216 15.065 15.819 14.226 42.316 25.837 2652.0
